index,geometry,인구수,건물수,공시지가,교통혼잡도,주차구획수,불법주정차,행정동명,value
975,"POLYGON ((127.1435941550084 35.820424918121375, 127.14449247029252 35.820424918121375, 127.14449247029252 35.81969651112375, 127.1435941550084 35.81969651112375, 127.1435941550084 35.820424918121375))",0.023741690408357077,0.33783783783783783,0.6070940603232086,1.0,,,중앙동,0.5003444308169283
976,"POLYGON ((127.1435941550084 35.81969651112375, 127.14449247029252 35.81969651112375, 127.14449247029252 35.818968097442486, 127.1435941550084 35.818968097442486, 127.1435941550084 35.81969651112375))",0.014245014245014245,0.33783783783783783,0.6070940603232086,1.0,,,중앙동,0.4990433861825503
977,"POLYGON ((127.1435941550084 35.818968097442486, 127.14449247029252 35.818968097442486, 127.14449247029252 35.818239677077614, 127.1435941550084 35.818239677077614, 127.1435941550084 35.818968097442486))",0.014245014245014245,0.3783783783783784,0.803475613324068,1.0,,,중앙동,0.5334945206339105
978,"POLYGON ((127.1435941550084 35.81532592878336, 127.14449247029252 35.81532592878336, 127.14449247029252 35.81459747500137, 127.1435941550084 35.81459747500137, 127.1435941550084 35.81532592878336))",0.07122507122507123,0.3783783783783784,0.12858637451770752,1.0,,,중앙동,0.44951585196251326
979,"POLYGON ((127.1435941550084 35.81459747500137, 127.14449247029252 35.81459747500137, 127.14449247029252 35.81386901453613, 127.1435941550084 35.81386901453613, 127.1435941550084 35.81459747500137))",0.07122507122507123,0.6486486486486487,0.1362299727338519,1.0,,,중앙동,0.5021770029415304
980,"POLYGON ((127.1435941550084 35.81386901453613, 127.14449247029252 35.81386901453613, 127.14449247029252 35.8131405473877, 127.1435941550084 35.8131405473877, 127.1435941550084 35.81386901453613))",0.11965811965811966,0.6486486486486487,0.14005395050554303,0.4283166107082237,,,풍남동,0.3092432053016865
981,"POLYGON ((127.1435941550084 35.8131405473877, 127.14449247029252 35.8131405473877, 127.14449247029252 35.812412073556125, 127.1435941550084 35.812412073556125, 127.1435941550084 35.8131405473877))",0.11965811965811966,0.2972972972972973,0.14005395050554303,0.7249574157016689,,,완산동,0.34595937894128415
982,"POLYGON ((127.14449247029252 35.81459747500137, 127.14539078557665 35.81459747500137, 127.14539078557665 35.81386901453613, 127.14449247029252 35.81386901453613, 127.14449247029252 35.81459747500137))",0.07217473884140552,0.6486486486486487,0.13934552477013903,1.0,,,중앙동,0.5027308224819034
983,"POLYGON ((127.14449247029252 35.81386901453613, 127.14539078557665 35.81386901453613, 127.14539078557665 35.8131405473877, 127.14449247029252 35.8131405473877, 127.14449247029252 35.81386901453613))",0.11965811965811966,0.6486486486486487,0.2065743931086856,0.4283166107082237,,,풍남동,0.31828998549571386
984,"POLYGON ((127.14449247029252 35.8131405473877, 127.14539078557665 35.8131405473877, 127.14539078557665 35.812412073556125, 127.14449247029252 35.812412073556125, 127.14449247029252 35.8131405473877))",0.11965811965811966,0.6216216216216217,0.2065743931086856,0.7249574157016689,,,완산동,0.41695210508125746
985,"POLYGON ((127.14449247029252 35.812412073556125, 127.14539078557665 35.812412073556125, 127.14539078557665 35.81168359304146, 127.14449247029252 35.81168359304146, 127.14449247029252 35.812412073556125))",0.0,0.0945945945945946,0.13403898166251788,0.7249574157016689,,,완산동,0.29003196456925406
