index,geometry,인구수,건물수,공시지가,교통혼잡도,주차구획수,불법주정차,행정동명
1728,"POLYGON ((14154660.15896217 4275340.16761297, 14154760.15896217 4275340.16761297, 14154760.15896217 4275240.16761297, 14154660.15896217 4275240.16761297, 14154660.15896217 4275340.16761297))",31.0,37.0,2520545.19,0.7358844544913219,,,풍남동
1729,"POLYGON ((14154660.15896217 4275240.16761297, 14154760.15896217 4275240.16761297, 14154760.15896217 4275140.16761297, 14154660.15896217 4275140.16761297, 14154660.15896217 4275240.16761297))",31.0,37.0,4664511.25,0.7358844544913219,,,풍남동
1730,"POLYGON ((14154660.15896217 4275140.16761297, 14154760.15896217 4275140.16761297, 14154760.15896217 4275040.16761297, 14154660.15896217 4275040.16761297, 14154660.15896217 4275140.16761297))",28.0,23.0,4664511.25,0.7358844544913219,,,풍남동
1731,"POLYGON ((14154660.15896217 4275040.16761297, 14154760.15896217 4275040.16761297, 14154760.15896217 4274940.16761297, 14154660.15896217 4274940.16761297, 14154660.15896217 4275040.16761297))",47.0,37.0,3663221.66,0.7358844544913219,,,풍남동
1732,"POLYGON ((14154660.15896217 4275640.16761297, 14154760.15896217 4275640.16761297, 14154760.15896217 4275540.16761297, 14154660.15896217 4275540.16761297, 14154660.15896217 4275640.16761297))",45.0,39.0,2009130.08,0.7358844544913219,,,노송동
1733,"POLYGON ((14154660.15896217 4275540.16761297, 14154760.15896217 4275540.16761297, 14154760.15896217 4275440.16761297, 14154660.15896217 4275440.16761297, 14154660.15896217 4275540.16761297))",45.0,39.0,2681950.21,0.7358844544913219,,,풍남동
1734,"POLYGON ((14154660.15896217 4275440.16761297, 14154760.15896217 4275440.16761297, 14154760.15896217 4275340.16761297, 14154660.15896217 4275340.16761297, 14154660.15896217 4275440.16761297))",31.0,37.0,2681950.21,0.7358844544913219,,,풍남동
1735,"POLYGON ((14154660.15896217 4274940.16761297, 14154760.15896217 4274940.16761297, 14154760.15896217 4274840.16761297, 14154660.15896217 4274840.16761297, 14154660.15896217 4274940.16761297))",47.0,37.0,2503455.46,0.7358844544913219,,,풍남동
1736,"POLYGON ((14154660.15896217 4274840.16761297, 14154760.15896217 4274840.16761297, 14154760.15896217 4274740.16761297, 14154660.15896217 4274740.16761297, 14154660.15896217 4274840.16761297))",35.0,35.0,1811123.67,0.7358844544913219,,,풍남동
1737,"POLYGON ((14154660.15896217 4274740.16761297, 14154760.15896217 4274740.16761297, 14154760.15896217 4274640.16761297, 14154660.15896217 4274640.16761297, 14154660.15896217 4274740.16761297))",35.0,35.0,1811123.67,0.7358844544913219,,,동서학동
1738,"POLYGON ((14154660.15896217 4274640.16761297, 14154760.15896217 4274640.16761297, 14154760.15896217 4274540.16761297, 14154660.15896217 4274540.16761297, 14154660.15896217 4274640.16761297))",19.0,20.0,1170150.74,0.7358844544913219,,,동서학동
1739,"POLYGON ((14149460.15896217 4278940.16761297, 14149560.15896217 4278940.16761297, 14149560.15896217 4278840.16761297, 14149460.15896217 4278840.16761297, 14149460.15896217 4278940.16761297))",311.0,8.0,2549.98,0.6670403665584625,,,덕진동
1740,"POLYGON ((14149460.15896217 4278840.16761297, 14149560.15896217 4278840.16761297, 14149560.15896217 4278740.16761297, 14149460.15896217 4278740.16761297, 14149460.15896217 4278840.16761297))",277.0,9.0,2550.04,0.6670403665584625,,,덕진동
1741,"POLYGON ((14149460.15896217 4278740.16761297, 14149560.15896217 4278740.16761297, 14149560.15896217 4278640.16761297, 14149460.15896217 4278640.16761297, 14149460.15896217 4278740.16761297))",530.0,9.0,1064000.01,0.6670403665584625,,,덕진동
1742,"POLYGON ((14149460.15896217 4278640.16761297, 14149560.15896217 4278640.16761297, 14149560.15896217 4278540.16761297, 14149460.15896217 4278540.16761297, 14149460.15896217 4278640.16761297))",530.0,2.0,1064000.01,0.6670403665584625,,,서신동
1743,"POLYGON ((14149460.15896217 4278140.16761297, 14149560.15896217 4278140.16761297, 14149560.15896217 4278040.16761297, 14149460.15896217 4278040.16761297, 14149460.15896217 4278140.16761297))",163.0,20.0,804773.31,0.6670403665584625,,,서신동
1744,"POLYGON ((14149460.15896217 4278040.16761297, 14149560.15896217 4278040.16761297, 14149560.15896217 4277940.16761297, 14149460.15896217 4277940.16761297, 14149460.15896217 4278040.16761297))",116.0,14.0,643426.43,0.6670403665584625,,,서신동
1745,"POLYGON ((14149460.15896217 4277940.16761297, 14149560.15896217 4277940.16761297, 14149560.15896217 4277840.16761297, 14149460.15896217 4277840.16761297, 14149460.15896217 4277940.16761297))",274.0,14.0,643426.43,0.6670403665584625,,,서신동
1746,"POLYGON ((14149460.15896217 4277840.16761297, 14149560.15896217 4277840.16761297, 14149560.15896217 4277740.16761297, 14149460.15896217 4277740.16761297, 14149460.15896217 4277840.16761297))",699.0,2.0,1114999.85,0.6670403665584625,,,서신동
1747,"POLYGON ((14149460.15896217 4278540.16761297, 14149560.15896217 4278540.16761297, 14149560.15896217 4278440.16761297, 14149460.15896217 4278440.16761297, 14149460.15896217 4278540.16761297))",257.0,1.0,449284.12,0.6670403665584625,,,서신동
1748,"POLYGON ((14149460.15896217 4278440.16761297, 14149560.15896217 4278440.16761297, 14149560.15896217 4278340.16761297, 14149460.15896217 4278340.16761297, 14149460.15896217 4278440.16761297))",263.0,12.0,536242.31,0.6670403665584625,,,서신동
1749,"POLYGON ((14149460.15896217 4278340.16761297, 14149560.15896217 4278340.16761297, 14149560.15896217 4278240.16761297, 14149460.15896217 4278240.16761297, 14149460.15896217 4278340.16761297))",263.0,14.0,726988.14,0.6670403665584625,,,서신동
1750,"POLYGON ((14149460.15896217 4278240.16761297, 14149560.15896217 4278240.16761297, 14149560.15896217 4278140.16761297, 14149460.15896217 4278140.16761297, 14149460.15896217 4278240.16761297))",163.0,20.0,804773.31,0.6670403665584625,,,서신동
1751,"POLYGON ((14149460.15896217 4277740.16761297, 14149560.15896217 4277740.16761297, 14149560.15896217 4277640.16761297, 14149460.15896217 4277640.16761297, 14149460.15896217 4277740.16761297))",699.0,2.0,1166000.3,0.6670403665584625,,,서신동
1752,"POLYGON ((14149460.15896217 4277640.16761297, 14149560.15896217 4277640.16761297, 14149560.15896217 4277540.16761297, 14149460.15896217 4277540.16761297, 14149460.15896217 4277640.16761297))",670.0,2.0,1166000.3,0.6670403665584625,,,서신동
1753,"POLYGON ((14149460.15896217 4277540.16761297, 14149560.15896217 4277540.16761297, 14149560.15896217 4277440.16761297, 14149460.15896217 4277440.16761297, 14149460.15896217 4277540.16761297))",0.0,0.0,0.0,0.6670403665584625,,,서신동
1754,"POLYGON ((14149460.15896217 4277440.16761297, 14149560.15896217 4277440.16761297, 14149560.15896217 4277340.16761297, 14149460.15896217 4277340.16761297, 14149460.15896217 4277440.16761297))",0.0,0.0,0.0,0.6670403665584625,,,서신동
1755,"POLYGON ((14154660.15896217 4277440.16761297, 14154760.15896217 4277440.16761297, 14154760.15896217 4277340.16761297, 14154660.15896217 4277340.16761297, 14154660.15896217 4277440.16761297))",120.0,29.0,421878.86,0.7484717607092091,,,인후1동
1756,"POLYGON ((14149560.15896217 4277640.16761297, 14149660.15896217 4277640.16761297, 14149660.15896217 4277540.16761297, 14149560.15896217 4277540.16761297, 14149560.15896217 4277640.16761297))",670.0,5.0,1166000.3,0.6670403665584625,,,서신동
1757,"POLYGON ((14154760.15896217 4277640.16761297, 14154860.15896217 4277640.16761297, 14154860.15896217 4277540.16761297, 14154760.15896217 4277540.16761297, 14154760.15896217 4277640.16761297))",165.0,37.0,592572.03,0.7484717607092091,,,인후1동
1758,"POLYGON ((14149560.15896217 4277540.16761297, 14149660.15896217 4277540.16761297, 14149660.15896217 4277440.16761297, 14149560.15896217 4277440.16761297, 14149560.15896217 4277540.16761297))",0.0,0.0,680400.03,0.6670403665584625,,,서신동
1759,"POLYGON ((14154760.15896217 4277540.16761297, 14154860.15896217 4277540.16761297, 14154860.15896217 4277440.16761297, 14154760.15896217 4277440.16761297, 14154760.15896217 4277540.16761297))",165.0,39.0,448241.59,0.7484717607092091,,,인후1동
