,latitude,longitude,point,geometry
43,35.81722291,127.096657,POINT (127.096657 35.81722291),POINT (14148335.138767349 4275500.596294992)
44,35.81309018,127.1012547,POINT (127.1012547 35.81309018),POINT (14148846.985786017 4274933.228777109)
45,35.813169,127.109605,POINT (127.109605 35.813169),POINT (14149776.50353414 4274944.0734153045)
46,35.812818,127.122035,POINT (127.122035 35.812818),POINT (14151160.204804698 4274895.890358501)
47,35.75808408,127.0866859,POINT (127.0866859 35.75808408),POINT (14147225.17212465 4267384.95733072)
48,35.80236741,127.1099378,POINT (127.1099378 35.80236741),POINT (14149813.572924573 4273461.340839865)
49,35.79998774,127.1115246,POINT (127.1115246 35.79998774),POINT (14149990.236956464 4273134.815370656)
50,35.82245737,127.137278,POINT (127.137278 35.82245737),POINT (14152857.047802864 4276219.14862473)
51,35.817146,127.123426,POINT (127.123426 35.817146),POINT (14151315.050216394 4275490.025664753)
52,35.818312,127.1427168,POINT (127.1427168 35.818312),POINT (14153462.514513288 4275650.09630621)
53,35.805569,127.149134,POINT (127.149134 35.805569),POINT (14154176.851685708 4273900.8411686225)
54,35.80928232,127.1490068,POINT (127.1490068 35.80928232),POINT (14154162.714110376 4274410.502555034)
55,35.79596451,127.1361042,POINT (127.1361042 35.79596451),POINT (14152726.35872067 4272582.667814892)
56,35.80062313,127.1686811,POINT (127.1686811 35.80062313),POINT (14156352.813772244 4273221.970224362)
57,35.788415,127.1934289,POINT (127.1934289 35.788415),POINT (14159107.748530395 4271546.523029333)
58,35.79612799,127.1436245,POINT (127.1436245 35.79612799),POINT (14153563.481291438 4272605.038648929)
59,35.82032129,127.1536303,POINT (127.1536303 35.82032129),POINT (14154677.344116315 4275925.901065495)
60,35.82131357,127.1548746,POINT (127.1548746 35.82131357),POINT (14154815.936882354 4276062.227249884)
61,35.8750205,127.056677,POINT (127.056677 35.8750205),POINT (14143884.585525434 4283437.915878811)
62,35.867441,127.147521,POINT (127.147521 35.867441),POINT (14153997.293347057 4282396.754614615)
63,35.84213528,127.1758765,POINT (127.1758765 35.84213528),POINT (14157153.757508501 4278921.076819716)
64,35.86982778,127.0804613,POINT (127.0804613 35.86982778),POINT (14146532.20829446 4282724.656780362)
65,35.85595728,127.106249,POINT (127.106249 35.85595728),POINT (14149402.91532304 4280819.335694518)
66,35.868255,127.113119,POINT (127.113119 35.868255),POINT (14150167.680224787 4282508.572676518)
67,35.86493827,127.1152586,POINT (127.1152586 35.86493827),POINT (14150405.903935084 4282052.928138401)
68,35.86135501,127.1180147,POINT (127.1180147 35.86135501),POINT (14150712.700451711 4281560.765547636)
69,35.864516,127.118132,POINT (127.118132 35.864516),POINT (14150725.724832134 4281994.960860974)
70,35.86825907,127.1164243,POINT (127.1164243 35.86825907),POINT (14150535.591141857 4282509.12215386)
71,35.869365,127.128111,POINT (127.128111 35.869365),POINT (14151836.582030762 4282661.053702927)
72,35.8466072,127.148226,POINT (127.148226 35.8466072),POINT (14154075.773588065 4279535.207426621)
73,35.85339036,127.131618,POINT (127.131618 35.85339036),POINT (14152226.979484973 4280466.76903572)
74,35.846689,127.109772,POINT (127.109772 35.846689),POINT (14149795.093889104 4279546.468642088)
75,35.84584511,127.1097228,POINT (127.1097228 35.84584511),POINT (14149789.639234055 4279430.561078743)
76,35.84330766,127.1097145,POINT (127.1097145 35.84330766),POINT (14149788.637358636 4279082.159158776)
77,35.8422224,127.110542,POINT (127.110542 35.8422224),POINT (14149880.809897011 4278933.024021386)
78,35.845469,127.120302,POINT (127.120302 35.845469),POINT (14150967.288127156 4279378.924931097)
79,35.8430137,127.1453213,POINT (127.1453213 35.8430137),POINT (14153752.390467312 4279041.785356476)
80,35.84159498,127.1495961,POINT (127.1495961 35.84159498),POINT (14154228.281290455 4278846.92206795)
81,35.84294667,127.1509653,POINT (127.1509653 35.84294667),POINT (14154380.677673351 4279032.584544918)
82,35.8355004,127.154604,POINT (127.154604 35.8355004),POINT (14154785.769300349 4278009.969640846)
83,35.84341911,127.163767,POINT (127.163767 35.84341911),POINT (14155805.789794486 4279097.402367948)
84,35.84751636,127.1587594,POINT (127.1587594 35.84751636),POINT (14155248.301784594 4279660.042770929)
85,35.82632995,127.1626078,POINT (127.1626078 35.82632995),POINT (14155676.770504657 4276750.885885007)
86,35.8363209,127.164735,POINT (127.164735 35.8363209),POINT (14155913.547061574 4278122.703866017)
87,35.837556,127.168407,POINT (127.168407 35.837556),POINT (14156322.312231768 4278292.287997725)
88,35.831586,127.1706162,POINT (127.1706162 35.831586),POINT (14156568.216986928 4277472.541393285)
89,35.83152828,127.172963,POINT (127.172963 35.83152828),POINT (14156829.48383182 4277464.577658441)
90,35.825419,127.171632,POINT (127.171632 35.825419),POINT (14156681.317589574 4276625.809282118)
