,latitude,longitude,count,point,geometry
61,35.8144455,127.1259597,598,POINT (127.1259597 35.8144455),POINT (14151597.133806065 4275119.3736839965)
62,35.8343672,127.1218516,583,POINT (127.1218516 35.8343672),POINT (14151139.833337884 4277854.39557963)
63,35.8474083,127.0781701,582,POINT (127.0781701 35.8474083),POINT (14146277.175341053 4279645.210773929)
64,35.8202515,127.1433422,574,POINT (127.1433422 35.8202515),POINT (14153532.089195034 4275916.428312421)
65,35.8558348,127.0970708,572,POINT (127.0970708 35.8558348),POINT (14148381.225036537 4280802.579249009)
66,35.81891574894996,127.10829798020924,572,POINT (127.10829798020924 35.81891574894996),POINT (14149631.008959675 4275733.015470209)
67,35.7871649,127.1323489,565,POINT (127.1323489 35.7871649),POINT (14152308.354032744 4271374.98537719)
68,35.8044073,127.1142443,561,POINT (127.1142443 35.8044073),POINT (14150292.914651928 4273741.345247284)
69,35.8182141,127.1065132,553,POINT (127.1065132 35.8182141),POINT (14149432.303668609 4275636.642594051)
70,35.8325874,127.1202841,552,POINT (127.1202841 35.8325874),POINT (14150965.284376323 4277609.985389382)
71,35.8656486,127.127185,548,POINT (127.127185 35.8656486),POINT (14151733.500182286 4282150.594083556)
72,35.8009661,127.1044443,546,POINT (127.1044443 35.8009661),POINT (14149201.983642155 4273269.0478603225)
73,35.8381722,127.1005664,542,POINT (127.1005664 35.8381722),POINT (14148770.28665686 4278376.875077732)
74,35.8168174,127.1115305,529,POINT (127.1115305 35.8168174),POINT (14149990.793553917 4275444.860360122)
75,35.8189844,127.1395295,526,POINT (127.1395295 35.8189844),POINT (14153107.739296129 4275742.350779838)
76,35.8223482,127.1449563,481,POINT (127.1449563 35.8223482),POINT (14153711.758853171 4276204.184021701)
77,35.7938407,127.1335037,476,POINT (127.1335037 35.7938407),POINT (14152436.928044608 4272291.164945708)
78,35.7977441,127.1246996,468,POINT (127.1246996 35.7977441),POINT (14151456.871247666 4272826.828050979)
79,35.8160331,127.1070101,467,POINT (127.1070101 35.8160331),POINT (14149487.629455533 4275337.233154551)
80,35.8142126,127.1083248,466,POINT (127.1083248 35.8142126),POINT (14149634.014585925 4275087.388381626)
81,35.7947669,127.1346007,464,POINT (127.1346007 35.7947669),POINT (14152559.045526009 4272418.250455103)
82,35.8465925,127.0743329,460,POINT (127.0743329 35.8465925),POINT (14145850.042454878 4279533.147449441)
83,35.8362428,127.1328727,452,POINT (127.1328727 35.8362428),POINT (14152366.68544592 4278111.993377907)
84,35.8329676,127.1131423,447,POINT (127.1131423 35.8329676),POINT (14150170.240573075 4277662.299693622)
85,35.8176385,127.1431391,447,POINT (127.1431391 35.8176385),POINT (14153509.491338402 4275557.568050085)
86,35.8170529,127.1038847,446,POINT (127.1038847 35.8170529),POINT (14149139.756046802 4275477.258553586)
87,35.8096786,127.1191425,443,POINT (127.1191425 35.8096786),POINT (14150838.157517835 4274464.997789615)
88,35.84405479999999,127.1241886,436,POINT (127.1241886 35.84405479999999),POINT (14151399.98698787 4279184.742248007)
89,35.8409453,127.1363766,433,POINT (127.1363766 35.8409453),POINT (14152756.748941658 4278757.6623881515)
90,35.8203226,127.1025284,430,POINT (127.1025284 35.8203226),POINT (14148988.695497796 4275926.175638171)
91,35.8180205,127.11159,430,POINT (127.11159 35.8180205),POINT (14149997.472723365 4275610.009784266)
92,35.8500537,127.1623649,426,POINT (127.1623649 35.8500537),POINT (14155649.719868392 4280008.6005154215)
93,35.8320911,127.114985,420,POINT (127.114985 35.8320911),POINT (14150375.402394608 4277541.881054717)
94,35.8333897,127.145212,419,POINT (127.145212 35.8333897),POINT (14153740.256642817 4277720.2439143555)
95,35.8150125,127.1040587,418,POINT (127.1040587 35.8150125),POINT (14149159.1256382 4275197.072277261)
96,35.823425,127.1426706,416,POINT (127.1426706 35.823425),POINT (14153457.393816711 4276352.046184414)
97,35.8236084,127.1374467,416,POINT (127.1374467 35.8236084),POINT (14152875.860796805 4276377.170595318)
98,35.8203226,127.1025284,412,POINT (127.1025284 35.8203226),POINT (14148988.695497796 4275926.175638171)
99,35.8388052,127.1319438,398,POINT (127.1319438 35.8388052),POINT (14152263.269638972 4278463.797225694)
